,work_qid,work_label,author,authorLabel,publication_date,title,edition_1,edition_2
19,Q136800893,Frau Hempels Tochter,Q2646840,Alice Berend,1912-01-01T00:00:00Z,Frau Hempels Tochter,Q136800894,Q136800895
20,Q136800894,Frau Hempels Tochter (Erstausgabe von 1912),Q2646840,Alice Berend,1912-01-01T00:00:00Z,Frau Hempels Tochter,,
21,Q136800895,Frau Hempels Tochter (Projekt Gutenberg-DE Edition),Q2646840,Alice Berend,,Frau Hempels Tochter,,
22,Q136800896,Die Bräutigame der Babette Bomberling,Q2646840,Alice Berend,1915-01-01T00:00:00Z,Die Bräutigame der Babette Bomberling,Q136800897,Q136800898
23,Q136800897,Die Bräutigame der Babette Bomberling (Erstausgabe von 1915),Q2646840,Alice Berend,1915-01-01T00:00:00Z,Die Bräutigame der Babette Bomberling,,
24,Q136800898,Die Bräutigame der Babette Bomberling (Projekt Gutenberg-DE Edition),Q2646840,Alice Berend,,Die Bräutigame der Babette Bomberling,,
25,Q136800899,Bruders Bekenntnis,Q2646840,Alice Berend,1921-01-01T00:00:00Z,Bruders Bekenntnis,Q136800900,Q136800901
26,Q136800900,Bruders Bekenntnis (Erstausgabe von 1921),Q2646840,Alice Berend,1921-01-01T00:00:00Z,Bruders Bekenntnis,,
27,Q136800901,Bruders Bekenntnis (Projekt Gutenberg-DE Edition),Q2646840,Alice Berend,,Bruders Bekenntnis,,
28,Q136800903,Das verbrannte Bett,Q2646840,Alice Berend,1926-01-01T00:00:00Z,Das verbrannte Bett,Q136800904,Q136800905
29,Q136800904,Das verbrannte Bett (Erstausgabe von 1926),Q2646840,Alice Berend,1926-01-01T00:00:00Z,Das verbrannte Bett,,
30,Q136800905,Das verbrannte Bett (Projekt Gutenberg-DE Edition),Q2646840,Alice Berend,,Das verbrannte Bett,,
31,Q136800906,Die Leuenhofer,Q1656493,Ida Bindschedler,1919-01-01T00:00:00Z,Die Leuenhofer,Q136800907,Q136800909
32,Q136800907,Die Leuenhofer (Erstausgabe von 1919),Q1656493,Ida Bindschedler,1919-01-01T00:00:00Z,Die Leuenhofer,,
33,Q136800909,Die Leuenhofer (Projekt Gutenberg-DE Edition),Q1656493,Ida Bindschedler,,Die Leuenhofer,,
34,Q136800910,Götzendienst,Q1095152,Clara Blüthgen,1930-01-01T00:00:00Z,Götzendienst,Q136800912,Q136800913
35,Q136800912,Götzendienst (Erstausgabe von 1930),Q1095152,Clara Blüthgen,1930-01-01T00:00:00Z,Götzendienst,,
36,Q136800913,Götzendienst (Projekt Gutenberg-DE Edition),Q1095152,Clara Blüthgen,,Götzendienst,,
37,Q136800914,Dilettanten des Lasters,Q1095152,Clara Blüthgen,1902-01-01T00:00:00Z,Dilettanten des Lasters,Q136800915,Q136800916
38,Q136800915,Dilettanten des Lasters (Erstausgabe von 1902),Q1095152,Clara Blüthgen,1902-01-01T00:00:00Z,Dilettanten des Lasters,,
39,Q136800916,Dilettanten des Lasters (Projekt Gutenberg-DE Edition),Q1095152,Clara Blüthgen,,Dilettanten des Lasters,,
40,Q136800917,Daniella,Q1406060,Ferdinande von Brackel,1879-01-01T00:00:00Z,Daniella,Q136800918,Q136800919
41,Q136800918,Daniella (Erstausgabe von 1879),Q1406060,Ferdinande von Brackel,1879-01-01T00:00:00Z,Daniella,,
42,Q136800919,Daniella (Projekt Gutenberg-DE Edition),Q1406060,Ferdinande von Brackel,,Daniella,,
43,Q136800920,Die Tochter des Kunstreiters,Q1406060,Ferdinande von Brackel,1875-01-01T00:00:00Z,Die Tochter des Kunstreiters,Q136800921,Q136800922
44,Q136800921,Die Tochter des Kunstreiters (Erstausgabe von 1875),Q1406060,Ferdinande von Brackel,1875-01-01T00:00:00Z,Die Tochter des Kunstreiters,,
45,Q136800922,Die Tochter des Kunstreiters (Projekt Gutenberg-DE Edition),Q1406060,Ferdinande von Brackel,,Die Tochter des Kunstreiters,,
46,Q136800923,Geschichten aus der Jugendzeit,Q1256002,Isabella Braun,1871-01-01T00:00:00Z,Geschichten aus der Jugendzeit,Q136800924,Q136800925
47,Q136800924,Geschichten aus der Jugendzeit (Erstausgabe von 1871),Q1256002,Isabella Braun,1871-01-01T00:00:00Z,Geschichten aus der Jugendzeit,,
48,Q136800925,Geschichten aus der Jugendzeit (Projekt Gutenberg-DE Edition),Q1256002,Isabella Braun,,Geschichten aus der Jugendzeit,,
49,Q136800926,Guten Abend!,Q1256002,Isabella Braun,1879-01-01T00:00:00Z,Guten Abend!,Q136800927,Q136800928
50,Q136800927,Guten Abend! (Erstausgabe von 1879),Q1256002,Isabella Braun,1879-01-01T00:00:00Z,Guten Abend!,,
51,Q136800928,Guten Abend! (Projekt Gutenberg-DE Edition),Q1256002,Isabella Braun,,Guten Abend!,,
52,Q136800930,Im Hexenring,Q1456366,Frieda von Bülow,1921-01-01T00:00:00Z,Im Hexenring,Q136800931,Q136800932
53,Q136800931,Im Hexenring (Erstausgabe von 1921),Q1456366,Frieda von Bülow,1921-01-01T00:00:00Z,Im Hexenring,,
54,Q136800932,Im Hexenring (Projekt Gutenberg-DE Edition),Q1456366,Frieda von Bülow,,Im Hexenring,,
55,Q136800933,Die schönsten Novellen über Lou Andreas-Salomé und andere Frauen,Q1456366,Frieda von Bülow,1902-01-01T00:00:00Z,Die schönsten Novellen über Lou Andreas-Salomé und andere Frauen,Q136800934,Q136800935
56,Q136800934,Die schönsten Novellen über Lou Andreas-Salomé und andere Frauen (Erstausgabe von 1902),Q1456366,Frieda von Bülow,1902-01-01T00:00:00Z,Die schönsten Novellen über Lou Andreas-Salomé und andere Frauen,,
57,Q136800935,Die schönsten Novellen über Lou Andreas-Salomé und andere Frauen (Projekt Gutenberg-DE Edition),Q1456366,Frieda von Bülow,,Die schönsten Novellen über Lou Andreas-Salomé und andere Frauen,,
58,Q136800936,Die Tochter,Q1456366,Frieda von Bülow,1906-01-01T00:00:00Z,Die Tochter,Q136800937,Q136800938
59,Q136800937,Die Tochter (Erstausgabe von 1906),Q1456366,Frieda von Bülow,1906-01-01T00:00:00Z,Die Tochter,,
60,Q136800938,Die Tochter (Projekt Gutenberg-DE Edition),Q1456366,Frieda von Bülow,,Die Tochter,,
61,Q136800939,Die Kirchfahrerin,Q15430840,Maria Anna von Buol-Berenberg,1904-01-01T00:00:00Z,Die Kirchfahrerin,Q136800940,Q136800941
62,Q136800940,Die Kirchfahrerin (Erstausgabe von 1904),Q15430840,Maria Anna von Buol-Berenberg,1904-01-01T00:00:00Z,Die Kirchfahrerin,,
63,Q136800941,Die Kirchfahrerin (Projekt Gutenberg-DE Edition),Q15430840,Maria Anna von Buol-Berenberg,,Die Kirchfahrerin,,
64,Q136800943,Pimpernellche,Q98145,Anna Croissant-Rust,1901-01-01T00:00:00Z,Pimpernellche,Q136800944,Q136800945
65,Q136800944,Pimpernellche (Erstausgabe von 1901),Q98145,Anna Croissant-Rust,1901-01-01T00:00:00Z,Pimpernellche,,
66,Q136800945,Pimpernellche (Projekt Gutenberg-DE Edition),Q98145,Anna Croissant-Rust,,Pimpernellche,,
67,Q136800946,Unkebunk,Q98145,Anna Croissant-Rust,1921-01-01T00:00:00Z,Unkebunk,Q136800947,Q136800948
68,Q136800947,Unkebunk (Erstausgabe von 1921),Q98145,Anna Croissant-Rust,1921-01-01T00:00:00Z,Unkebunk,,
69,Q136800948,Unkebunk (Projekt Gutenberg-DE Edition),Q98145,Anna Croissant-Rust,,Unkebunk,,
70,Q136800949,Kaleidoskop,Q98145,Anna Croissant-Rust,1921-01-01T00:00:00Z,Kaleidoskop,Q136800950,Q136800951
71,Q136800950,Kaleidoskop (Erstausgabe von 1921),Q98145,Anna Croissant-Rust,1921-01-01T00:00:00Z,Kaleidoskop,,
72,Q136800951,Kaleidoskop (Projekt Gutenberg-DE Edition),Q98145,Anna Croissant-Rust,,Kaleidoskop,,
73,Q136800952,Die Nann,Q98145,Anna Croissant-Rust,1906-01-01T00:00:00Z,Die Nann,Q136800953,Q136800954
74,Q136800953,Die Nann (Erstausgabe von 1906),Q98145,Anna Croissant-Rust,1906-01-01T00:00:00Z,Die Nann,,
75,Q136800954,Die Nann (Projekt Gutenberg-DE Edition),Q98145,Anna Croissant-Rust,,Die Nann,,
76,Q136800955,Arche Noah,Q98145,Anna Croissant-Rust,1911-01-01T00:00:00Z,Arche Noah,Q136800956,Q136800957
77,Q136800956,Arche Noah (Erstausgabe von 1911),Q98145,Anna Croissant-Rust,1911-01-01T00:00:00Z,Arche Noah,,
78,Q136800957,Arche Noah (Projekt Gutenberg-DE Edition),Q98145,Anna Croissant-Rust,,Arche Noah,,
79,Q136800958,Winkelquartett,Q98145,Anna Croissant-Rust,1908-01-01T00:00:00Z,Winkelquartett,Q136800959,Q136800960
80,Q136800959,Winkelquartett (Erstausgabe von 1908),Q98145,Anna Croissant-Rust,1908-01-01T00:00:00Z,Winkelquartett,,
81,Q136800960,Winkelquartett (Projekt Gutenberg-DE Edition),Q98145,Anna Croissant-Rust,,Winkelquartett,,
82,Q136800961,Erotische Novellen,Q1261117,Elisabeth Dauthendey,1922-01-01T00:00:00Z,Erotische Novellen,Q136800962,Q136800963
83,Q136800962,Erotische Novellen (Erstausgabe von 1922),Q1261117,Elisabeth Dauthendey,1922-01-01T00:00:00Z,Erotische Novellen,,
84,Q136800963,Erotische Novellen (Projekt Gutenberg-DE Edition),Q1261117,Elisabeth Dauthendey,,Erotische Novellen,,
85,Q136800964,Die Märchenwiese,Q1261117,Elisabeth Dauthendey,1918-01-01T00:00:00Z,Die Märchenwiese,Q136800965,Q136800966
86,Q136800965,Die Märchenwiese (Erstausgabe von 1918),Q1261117,Elisabeth Dauthendey,1918-01-01T00:00:00Z,Die Märchenwiese,,
87,Q136800966,Die Märchenwiese (Projekt Gutenberg-DE Edition),Q1261117,Elisabeth Dauthendey,,Die Märchenwiese,,
88,Q136800967,Vivos voco,Q1261117,Elisabeth Dauthendey,1908-01-01T00:00:00Z,Vivos voco,Q136800968,Q136800969
89,Q136800968,Vivos voco (Erstausgabe von 1908),Q1261117,Elisabeth Dauthendey,1908-01-01T00:00:00Z,Vivos voco,,
90,Q136800969,Vivos voco (Projekt Gutenberg-DE Edition),Q1261117,Elisabeth Dauthendey,,Vivos voco,,
91,Q136800970,In seinen Fußstapfen,Q767396,Auguste von der Decken,1891-01-01T00:00:00Z,In seinen Fußstapfen,Q136800971,Q136800972
92,Q136800971,In seinen Fußstapfen (Erstausgabe von 1891),Q767396,Auguste von der Decken,1891-01-01T00:00:00Z,In seinen Fußstapfen,,
93,Q136800972,In seinen Fußstapfen (Projekt Gutenberg-DE Edition),Q767396,Auguste von der Decken,,In seinen Fußstapfen,,
94,Q136800973,Souverän,Q767396,Auguste von der Decken,1886-01-01T00:00:00Z,Souverän,Q136800974,Q136800975
95,Q136800974,Souverän (Erstausgabe von 1886),Q767396,Auguste von der Decken,1886-01-01T00:00:00Z,Souverän,,
96,Q136800975,Souverän (Projekt Gutenberg-DE Edition),Q767396,Auguste von der Decken,,Souverän,,
97,Q136800976,Brausejahre,Q767396,Auguste von der Decken,1885-01-01T00:00:00Z,Brausejahre,Q136800977,Q136800978
98,Q136800977,Brausejahre (Erstausgabe von 1885),Q767396,Auguste von der Decken,1885-01-01T00:00:00Z,Brausejahre,,
99,Q136800978,Brausejahre (Projekt Gutenberg-DE Edition),Q767396,Auguste von der Decken,,Brausejahre,,
100,Q136800979,Die jüngeren Prinzen,Q767396,Auguste von der Decken,1894-01-01T00:00:00Z,Die jüngeren Prinzen,Q136800980,Q136800981
101,Q136800980,Die jüngeren Prinzen (Erstausgabe von 1894),Q767396,Auguste von der Decken,1894-01-01T00:00:00Z,Die jüngeren Prinzen,,
102,Q136800981,Die jüngeren Prinzen (Projekt Gutenberg-DE Edition),Q767396,Auguste von der Decken,,Die jüngeren Prinzen,,
103,Q136800982,Die Kegelschnitte Gottes,Q827705,Bertha Eckstein-Diener,1920-01-01T00:00:00Z,Die Kegelschnitte Gottes,Q136800983,Q136800984
104,Q136800983,Die Kegelschnitte Gottes (Erstausgabe von 1920),Q827705,Bertha Eckstein-Diener,1920-01-01T00:00:00Z,Die Kegelschnitte Gottes,,
105,Q136800984,Die Kegelschnitte Gottes (Projekt Gutenberg-DE Edition),Q827705,Bertha Eckstein-Diener,,Die Kegelschnitte Gottes,,
106,Q136800985,Die Erlkönigin,Q87140,Nataly von Eschstruth,1888-01-01T00:00:00Z,Die Erlkönigin,Q136800986,Q136800987
107,Q136800986,Die Erlkönigin (Erstausgabe von 1888),Q87140,Nataly von Eschstruth,1888-01-01T00:00:00Z,Die Erlkönigin,,
108,Q136800987,Die Erlkönigin (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Die Erlkönigin,,
109,Q136800988,Hofluft,Q87140,Nataly von Eschstruth,1889-01-01T00:00:00Z,Hofluft,Q136800990,Q136800991
110,Q136800990,Hofluft (Erstausgabe von 1889),Q87140,Nataly von Eschstruth,1889-01-01T00:00:00Z,Hofluft,,
111,Q136800991,Hofluft (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Hofluft,,
112,Q136800993,Der verlorene Sohn,Q87140,Nataly von Eschstruth,1902-01-01T00:00:00Z,Der verlorene Sohn,Q136800994,Q136800995
113,Q136800994,Der verlorene Sohn (Erstausgabe von 1902),Q87140,Nataly von Eschstruth,1902-01-01T00:00:00Z,Der verlorene Sohn,,
114,Q136800995,Der verlorene Sohn (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Der verlorene Sohn,,
115,Q136800997,Der Stern des Glücks,Q87140,Nataly von Eschstruth,1896-01-01T00:00:00Z,Der Stern des Glücks,Q136800998,Q136800999
116,Q136800998,Der Stern des Glücks (Erstausgabe von 1896),Q87140,Nataly von Eschstruth,1896-01-01T00:00:00Z,Der Stern des Glücks,,
117,Q136800999,Der Stern des Glücks (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Der Stern des Glücks,,
118,Q136801000,Frühlingsstürme,Q87140,Nataly von Eschstruth,1899-01-01T00:00:00Z,Frühlingsstürme,Q136801001,Q136801002
119,Q136801001,Frühlingsstürme (Erstausgabe von 1899),Q87140,Nataly von Eschstruth,1899-01-01T00:00:00Z,Frühlingsstürme,,
120,Q136801002,Frühlingsstürme (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Frühlingsstürme,,
121,Q136801003,Wolfsburg,Q87140,Nataly von Eschstruth,1885-01-01T00:00:00Z,Wolfsburg,Q136801004,Q136801005
122,Q136801004,Wolfsburg (Erstausgabe von 1885),Q87140,Nataly von Eschstruth,1885-01-01T00:00:00Z,Wolfsburg,,
123,Q136801005,Wolfsburg (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Wolfsburg,,
124,Q136801007,Der Irrgeist des Schlosses,Q87140,Nataly von Eschstruth,1886-01-01T00:00:00Z,Der Irrgeist des Schlosses,Q136801008,Q136801009
125,Q136801008,Der Irrgeist des Schlosses (Erstausgabe von 1886),Q87140,Nataly von Eschstruth,1886-01-01T00:00:00Z,Der Irrgeist des Schlosses,,
126,Q136801009,Der Irrgeist des Schlosses (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Der Irrgeist des Schlosses,,
127,Q136801010,Gänseliesel,Q87140,Nataly von Eschstruth,1886-01-01T00:00:00Z,Gänseliesel,Q136801011,Q136801012
128,Q136801011,Gänseliesel (Erstausgabe von 1886),Q87140,Nataly von Eschstruth,1886-01-01T00:00:00Z,Gänseliesel,,
129,Q136801012,Gänseliesel (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Gänseliesel,,
130,Q136801015,Die Bären von Hohen-Esp,Q87140,Nataly von Eschstruth,1902-01-01T00:00:00Z,Die Bären von Hohen-Esp,Q136801016,Q136801017
131,Q136801016,Die Bären von Hohen-Esp (Erstausgabe von 1902),Q87140,Nataly von Eschstruth,1902-01-01T00:00:00Z,Die Bären von Hohen-Esp,,
132,Q136801017,Die Bären von Hohen-Esp (Projekt Gutenberg-DE Edition),Q87140,Nataly von Eschstruth,,Die Bären von Hohen-Esp,,
133,Q136801018,Aus Jurte und Kraal,Q23059605,Gisela Etzel,1911-01-01T00:00:00Z,Aus Jurte und Kraal,Q136801019,Q136801020
134,Q136801019,Aus Jurte und Kraal (Erstausgabe von 1911),Q23059605,Gisela Etzel,1911-01-01T00:00:00Z,Aus Jurte und Kraal,,
135,Q136801020,Aus Jurte und Kraal (Projekt Gutenberg-DE Edition),Q23059605,Gisela Etzel,,Aus Jurte und Kraal,,
136,Q136801021,Harzsagen,Q19145442,Carola von Eynatten,1889-01-01T00:00:00Z,Harzsagen,Q136801022,Q136801023
137,Q136801022,Harzsagen (Erstausgabe von 1889),Q19145442,Carola von Eynatten,1889-01-01T00:00:00Z,Harzsagen,,
138,Q136801023,Harzsagen (Projekt Gutenberg-DE Edition),Q19145442,Carola von Eynatten,,Harzsagen,,
139,Q136801024,Geknechteter Wille,Q19145442,Carola von Eynatten,1924-01-01T00:00:00Z,Geknechteter Wille,Q136801025,Q136801026
140,Q136801025,Geknechteter Wille (Erstausgabe von 1924),Q19145442,Carola von Eynatten,1924-01-01T00:00:00Z,Geknechteter Wille,,
141,Q136801026,Geknechteter Wille (Projekt Gutenberg-DE Edition),Q19145442,Carola von Eynatten,,Geknechteter Wille,,
142,Q136801027,Mährchen,Q1044449,Caroline Auguste Fischer,1802-01-01T00:00:00Z,Mährchen,Q136801028,Q136801029
143,Q136801028,Mährchen (Erstausgabe von 1802),Q1044449,Caroline Auguste Fischer,1802-01-01T00:00:00Z,Mährchen,,
144,Q136801029,Mährchen (Projekt Gutenberg-DE Edition),Q1044449,Caroline Auguste Fischer,,Mährchen,,
145,Q136801030,Vierzehn Tage in Paris,Q1044449,Caroline Auguste Fischer,1801-01-01T00:00:00Z,Vierzehn Tage in Paris,Q136801031,Q136801032
146,Q136801031,Vierzehn Tage in Paris (Erstausgabe von 1801),Q1044449,Caroline Auguste Fischer,1801-01-01T00:00:00Z,Vierzehn Tage in Paris,,
147,Q136801032,Vierzehn Tage in Paris (Projekt Gutenberg-DE Edition),Q1044449,Caroline Auguste Fischer,,Vierzehn Tage in Paris,,
148,Q136801033,Der Günstling,Q1044449,Caroline Auguste Fischer,1809-01-01T00:00:00Z,Der Günstling,Q136801034,Q136801035
149,Q136801034,Der Günstling (Erstausgabe von 1809),Q1044449,Caroline Auguste Fischer,1809-01-01T00:00:00Z,Der Günstling,,
150,Q136801035,Der Günstling (Projekt Gutenberg-DE Edition),Q1044449,Caroline Auguste Fischer,,Der Günstling,,
151,Q136801036,Krauskopf und Goldlöckchen,Q1044449,Caroline Auguste Fischer,1802-01-01T00:00:00Z,Krauskopf und Goldlöckchen,Q136801037,Q136801038
152,Q136801037,Krauskopf und Goldlöckchen (Erstausgabe von 1802),Q1044449,Caroline Auguste Fischer,1802-01-01T00:00:00Z,Krauskopf und Goldlöckchen,,
153,Q136801038,Krauskopf und Goldlöckchen (Projekt Gutenberg-DE Edition),Q1044449,Caroline Auguste Fischer,,Krauskopf und Goldlöckchen,,
154,Q136801039,Selim und Zoraïde,Q1044449,Caroline Auguste Fischer,1802-01-01T00:00:00Z,Selim und Zoraïde,Q136801040,Q136801041
155,Q136801040,Selim und Zoraïde (Erstausgabe von 1802),Q1044449,Caroline Auguste Fischer,1802-01-01T00:00:00Z,Selim und Zoraïde,,
156,Q136801041,Selim und Zoraïde (Projekt Gutenberg-DE Edition),Q1044449,Caroline Auguste Fischer,,Selim und Zoraïde,,
157,Q136801042,Kathinka Plüsch,Q1672509,Irene Forbes-Mosse,1930-01-01T00:00:00Z,Kathinka Plüsch,Q136801043,Q136801044
158,Q136801043,Kathinka Plüsch (Erstausgabe von 1930),Q1672509,Irene Forbes-Mosse,1930-01-01T00:00:00Z,Kathinka Plüsch,,
159,Q136801044,Kathinka Plüsch (Projekt Gutenberg-DE Edition),Q1672509,Irene Forbes-Mosse,,Kathinka Plüsch,,
160,Q136801045,Laubstreu,Q1672509,Irene Forbes-Mosse,1923-01-01T00:00:00Z,Laubstreu,Q136801046,Q136801047
161,Q136801046,Laubstreu (Erstausgabe von 1923),Q1672509,Irene Forbes-Mosse,1923-01-01T00:00:00Z,Laubstreu,,
162,Q136801047,Laubstreu (Projekt Gutenberg-DE Edition),Q1672509,Irene Forbes-Mosse,,Laubstreu,,
163,Q136801048,Berberitzchen und Andere,Q1672509,Irene Forbes-Mosse,1924-01-01T00:00:00Z,Berberitzchen und Andere,Q136801050,Q136801051
164,Q136801050,Berberitzchen und Andere (Erstausgabe von 1924),Q1672509,Irene Forbes-Mosse,1924-01-01T00:00:00Z,Berberitzchen und Andere,,
165,Q136801051,Berberitzchen und Andere (Projekt Gutenberg-DE Edition),Q1672509,Irene Forbes-Mosse,,Berberitzchen und Andere,,
166,Q136801052,Gabriele Alweyden oder Geben und Nehmen,Q1672509,Irene Forbes-Mosse,1924-01-01T00:00:00Z,Gabriele Alweyden oder Geben und Nehmen,Q136801053,Q136801054
167,Q136801053,Gabriele Alweyden oder Geben und Nehmen (Erstausgabe von 1924),Q1672509,Irene Forbes-Mosse,1924-01-01T00:00:00Z,Gabriele Alweyden oder Geben und Nehmen,,
168,Q136801054,Gabriele Alweyden oder Geben und Nehmen (Projekt Gutenberg-DE Edition),Q1672509,Irene Forbes-Mosse,,Gabriele Alweyden oder Geben und Nehmen,,
169,Q136801055,Don Juans Töchter,Q1672509,Irene Forbes-Mosse,1928-01-01T00:00:00Z,Don Juans Töchter,Q136801056,Q136801057
170,Q136801056,Don Juans Töchter (Erstausgabe von 1928),Q1672509,Irene Forbes-Mosse,1928-01-01T00:00:00Z,Don Juans Töchter,,
171,Q136801057,Don Juans Töchter (Projekt Gutenberg-DE Edition),Q1672509,Irene Forbes-Mosse,,Don Juans Töchter,,
172,Q136801058,Der kleine Tod,Q1672509,Irene Forbes-Mosse,1912-01-01T00:00:00Z,Der kleine Tod,Q136801059,Q136801060
173,Q136801059,Der kleine Tod (Erstausgabe von 1912),Q1672509,Irene Forbes-Mosse,1912-01-01T00:00:00Z,Der kleine Tod,,
174,Q136801060,Der kleine Tod (Projekt Gutenberg-DE Edition),Q1672509,Irene Forbes-Mosse,,Der kleine Tod,,
175,Q136801061,Die Schwingen des Lebens,Q394517,Agnes Franz,1840-01-01T00:00:00Z,Die Schwingen des Lebens,Q136801062,Q136801063
176,Q136801062,Die Schwingen des Lebens (Erstausgabe von 1840),Q394517,Agnes Franz,1840-01-01T00:00:00Z,Die Schwingen des Lebens,,
177,Q136801063,Die Schwingen des Lebens (Projekt Gutenberg-DE Edition),Q394517,Agnes Franz,,Die Schwingen des Lebens,,
178,Q136801064,Der neue Kreuzritter,Q105710,Louise von Gall,1853-01-01T00:00:00Z,Der neue Kreuzritter,Q136801065,Q136801066
179,Q136801065,Der neue Kreuzritter (Erstausgabe von 1853),Q105710,Louise von Gall,1853-01-01T00:00:00Z,Der neue Kreuzritter,,
180,Q136801066,Der neue Kreuzritter (Projekt Gutenberg-DE Edition),Q105710,Louise von Gall,,Der neue Kreuzritter,,
181,Q136801067,Der panische Schrecken,Q1230924,Luise Glaß,1906-01-01T00:00:00Z,Der panische Schrecken,Q136801068,Q136801069
182,Q136801068,Der panische Schrecken (Erstausgabe von 1906),Q1230924,Luise Glaß,1906-01-01T00:00:00Z,Der panische Schrecken,,
183,Q136801069,Der panische Schrecken (Projekt Gutenberg-DE Edition),Q1230924,Luise Glaß,,Der panische Schrecken,,
184,Q136801071,Der rote Merkur,Q766547,Auguste Groner,1910-01-01T00:00:00Z,Der rote Merkur,Q136801072,Q136801073
185,Q136801072,Der rote Merkur (Erstausgabe von 1910),Q766547,Auguste Groner,1910-01-01T00:00:00Z,Der rote Merkur,,
186,Q136801073,Der rote Merkur (Projekt Gutenberg-DE Edition),Q766547,Auguste Groner,,Der rote Merkur,,
187,Q136801074,Kriminalnovellen,Q766547,Auguste Groner,1902-01-01T00:00:00Z,Kriminalnovellen,Q136801075,Q136801076
188,Q136801075,Kriminalnovellen (Erstausgabe von 1902),Q766547,Auguste Groner,1902-01-01T00:00:00Z,Kriminalnovellen,,
189,Q136801076,Kriminalnovellen (Projekt Gutenberg-DE Edition),Q766547,Auguste Groner,,Kriminalnovellen,,
190,Q136801077,Warenhaus Groß & Comp.,Q766547,Auguste Groner,1907-01-01T00:00:00Z,Warenhaus Groß & Comp.,Q136801078,Q136801079
191,Q136801078,Warenhaus Groß & Comp. (Erstausgabe von 1907),Q766547,Auguste Groner,1907-01-01T00:00:00Z,Warenhaus Groß & Comp.,,
192,Q136801079,Warenhaus Groß & Comp. (Projekt Gutenberg-DE Edition),Q766547,Auguste Groner,,Warenhaus Groß & Comp.,,
193,Q136801081,Schlumski,Q51928,Agnes Harder,1916-01-01T00:00:00Z,Schlumski,Q136801082,Q136801083
194,Q136801082,Schlumski (Erstausgabe von 1916),Q51928,Agnes Harder,1916-01-01T00:00:00Z,Schlumski,,
195,Q136801083,Schlumski (Projekt Gutenberg-DE Edition),Q51928,Agnes Harder,,Schlumski,,
